date,Merchant,Barges,Other,Tugs,Tanker,Fishing,Pleasure Crafts,Excursion
2012-03-06,977,80,4,120,241,40,32,2
2012-03-11,975,59,0,151,298,37,29,2
2012-03-16,985,51,0,116,345,65,9,0
2012-03-21,1210,46,6,161,360,66,12,0
2012-03-26,1627,63,4,196,457,102,20,5
2012-04-01,1415,69,0,191,381,90,15,6
2012-04-06,1401,51,0,189,336,77,10,17
2012-04-11,1557,65,7,217,361,87,26,25
2012-04-16,1551,83,1,238,359,85,24,16
2012-04-21,1510,81,2,183,344,92,21,18
2012-04-26,1532,76,4,160,376,129,20,36
2012-05-01,1649,63,5,209,416,104,27,53
2012-05-06,1606,68,5,207,413,87,24,66
2012-05-11,1604,81,4,191,385,104,30,80
2012-05-16,1704,76,2,213,411,75,29,175
2012-05-21,1744,53,2,216,460,93,21,178
2012-05-26,2160,96,0,243,578,146,22,202
2012-06-01,1745,65,1,236,481,146,28,209
2012-06-06,1876,76,2,246,436,138,16,299
2012-06-11,1876,60,1,257,468,109,33,313
2012-06-16,1832,54,1,315,451,138,23,362
2012-06-21,1852,59,2,241,501,105,22,416
2012-06-26,1792,66,3,291,491,114,24,390
2012-07-01,1828,68,0,226,443,104,48,460
2012-07-06,1930,66,6,203,438,110,80,514
2012-07-11,1875,72,5,193,466,129,77,538
2012-07-16,1832,60,6,295,445,88,110,511
2012-07-21,1790,68,1,273,428,100,88,589
2012-07-26,2145,62,7,289,531,148,68,552
2012-08-01,1781,70,3,259,420,135,52,525
2012-08-06,1859,86,0,255,442,122,51,469
2012-08-11,1747,62,0,285,446,140,49,440
2012-08-16,1796,66,3,237,450,133,59,505
2012-08-21,1821,71,3,237,466,158,38,499
2012-08-26,2201,76,0,252,476,174,67,477
2012-09-01,1807,67,0,208,403,126,31,362
2012-09-06,1913,62,2,245,398,117,42,263
2012-09-11,1941,92,1,233,420,111,70,238
2012-09-16,1967,88,0,225,377,97,46,206
2012-09-21,1956,94,2,209,417,134,24,172
2012-09-26,1942,85,3,186,404,143,35,152
2012-10-01,1885,85,6,182,405,144,35,120
2012-10-06,1823,78,0,195,408,124,21,115
2012-10-11,1770,75,0,227,373,113,21,68
2012-10-16,1818,81,1,235,396,94,26,42
2012-10-21,1812,108,0,207,392,122,15,38
2012-10-26,2096,100,0,230,490,112,16,15
