date,Merchant,Barges,Other,Tugs,Tanker,Fishing,Pleasure Crafts,Excursion
2015-11-20,3596,88,5,392,768,163,1,26
2015-11-30,3624,122,6,357,757,196,1,20
2015-12-10,3483,89,5,324,826,146,4,21
2015-12-20,3414,70,16,360,733,142,0,5
2015-12-30,3279,29,8,332,857,122,1,5
2016-01-10,2337,55,8,237,702,127,2,8
2016-01-20,2143,57,11,351,703,204,0,5
2016-01-30,2237,35,8,332,713,148,0,23
2016-02-10,1997,58,4,302,543,136,0,37
2016-02-20,2039,79,13,281,627,138,3,28
2016-02-30,1868,62,0,328,619,122,0,19
2016-03-10,2226,82,27,286,583,137,17,7
2016-03-20,2161,84,12,333,652,130,28,10
2016-03-30,2635,75,11,284,767,191,35,29
2016-04-10,2625,94,5,287,725,143,33,38
2016-04-20,2912,102,4,310,726,179,48,77
2016-04-30,3102,96,10,330,773,144,63,110
2016-05-10,3051,107,1,305,740,134,55,215
2016-05-20,3258,100,26,347,744,193,52,280
2016-05-30,3519,103,14,359,990,173,41,523
2016-06-10,3167,113,8,361,1017,253,49,480
2016-06-20,3242,112,5,443,995,224,55,650
2016-06-30,3461,112,13,422,1007,234,77,915
2016-07-10,3400,103,23,347,865,217,109,987
2016-07-20,3512,108,8,340,853,214,152,978
2016-07-30,3928,94,6,347,993,222,220,1222
2016-08-10,3572,107,20,364,909,196,222,1044
2016-08-20,3810,117,8,333,896,249,236,1038
2016-08-30,4092,132,3,331,908,213,266,990
2016-09-10,3680,109,5,327,839,199,139,835
2016-09-20,3945,110,15,309,791,206,145,747
2016-09-30,4107,110,17,371,785,179,90,638
2016-10-10,3915,130,15,304,864,214,63,552
2016-10-20,3967,146,14,396,878,264,49,237
2016-10-30,4300,159,25,436,967,244,44,173
2016-11-10,3754,152,11,398,864,183,4,37
2016-11-20,3700,128,3,394,822,159,2,4
2016-11-30,3783,100,13,367,758,172,4,6
2016-12-10,3780,108,7,323,731,221,2,17
2016-12-20,3426,84,4,361,715,102,1,12
2016-12-30,3634,57,2,304,858,79,6,6
2017-01-10,2679,68,3,289,739,96,6,1
2017-01-20,2342,94,0,294,717,157,1,0
2017-01-30,2403,126,0,279,740,170,1,0
2017-02-10,2026,96,11,237,680,83,2,3
2017-02-20,2223,88,0,262,602,76,10,4
2017-02-30,1717,85,4,208,518,62,1,2
2017-03-10,2053,95,23,324,607,126,19,3
2017-03-20,2157,120,4,274,653,88,35,3
2017-03-30,2802,145,5,332,754,131,50,2
2017-04-10,2846,158,2,349,721,125,32,21
2017-04-20,3089,154,0,328,730,120,49,66
2017-04-30,3232,152,1,409,809,99,69,79
2017-05-10,3444,185,13,418,831,123,67,177
2017-05-20,3493,161,3,362,883,159,64,338
2017-05-30,3770,159,2,423,974,223,82,404
2017-06-10,3634,171,6,404,918,240,72,558
2017-06-20,3680,135,5,480,887,205,89,640
2017-06-30,3641,124,6,551,892,215,120,1021
2017-07-10,3787,133,2,522,892,196,181,1227
2017-07-20,3943,152,4,394,815,243,263,1113
2017-07-30,4301,129,3,525,867,240,305,1410
2017-08-10,3733,118,2,406,808,195,313,1123
2017-08-20,3835,127,4,366,810,247,296,1169
2017-08-30,4219,163,9,402,898,317,283,1094
2017-09-10,3915,114,2,398,879,265,154,921
