date,Other,Tugs,Fishing,Barges,Tanker,PleasureCrafts,Excursion,Merchant
2014-03-15,24,581,188,135,1047,58,57,3437
2014-04-01,27,590,230,176,1024,66,48,4282
2014-04-15,6,555,213,149,1132,51,92,4816
2014-05-01,12,561,258,184,1382,102,280,5713
2014-05-15,10,721,278,182,1342,83,497,6488
2014-06-01,18,702,431,206,1336,105,749,5879
2014-06-15,8,679,292,244,1222,147,1159,5912
2014-07-01,4,763,296,216,1370,138,1326,6019
2014-07-15,5,613,409,258,1396,215,1554,6549
2014-08-01,8,688,398,228,1348,322,1388,6129
2014-08-15,10,620,452,193,1411,394,1441,6413
2014-09-01,6,627,379,231,1247,290,809,6013
2014-09-15,13,757,412,256,1225,151,740,5996
2014-10-01,6,684,325,250,1193,122,398,5689
2014-10-15,10,808,345,259,1327,88,135,6479
2014-11-01,5,664,335,246,1179,40,33,5850
2014-11-15,3,705,255,230,1267,52,29,5861
2014-12-01,4,716,220,165,1348,36,26,5504
2014-12-15,5,618,155,109,1433,35,10,5266
2015-01-01,2,581,208,130,1136,32,5,3572
2015-01-15,11,621,191,96,1216,34,8,3341
2015-02-01,4,568,138,97,1052,30,0,2762
2015-02-15,5,546,171,87,832,26,3,2472
2015-03-01,23,548,209,103,1092,55,7,3147
2015-03-15,15,637,167,117,1027,73,4,3325
2015-04-01,3,569,219,130,1017,70,8,4006
2015-04-15,12,656,229,184,1188,89,67,4756
2015-05-01,12,588,201,176,1312,87,327,5328
2015-05-15,6,612,264,190,1383,109,529,5763
2015-06-01,14,683,318,130,1327,100,647,5328
2015-06-15,8,608,312,131,1351,114,1172,5383
2015-07-01,9,662,297,152,1385,176,1438,5394
2015-07-15,10,641,291,134,1299,268,1566,5491
2015-08-01,18,636,305,173,1381,354,1523,5307
2015-08-15,23,697,352,165,1462,293,1648,5937
2015-09-01,21,604,319,122,1364,191,969,5681
2015-09-15,5,719,294,146,1276,126,798,6289
2015-10-01,4,634,364,133,1423,78,412,6019
2015-10-15,11,625,326,185,1450,41,194,6280
2015-11-01,5,662,265,117,1248,11,47,5220
2015-11-15,9,563,286,173,1124,1,33,5471
2015-12-01,14,509,218,125,1186,4,26,5238
2015-12-15,15,507,192,63,1230,1,5,4938
2016-01-01,17,433,244,86,1052,2,11,3465
2016-01-15,10,487,235,61,1066,0,25,3252
2016-02-01,4,434,193,91,853,3,50,2990
2016-02-15,13,477,203,108,936,0,34,2914
2016-03-01,37,479,205,122,933,28,9,3370
2016-03-15,13,424,253,119,1069,52,37,3652
2016-04-01,7,439,233,142,1115,51,65,4069
2016-04-15,12,488,233,150,1109,93,160,4570
2016-05-01,3,470,244,172,1103,85,345,4686
2016-05-15,38,541,256,138,1371,63,673,5142
2016-06-01,13,590,345,164,1509,81,721,4729
2016-06-15,13,636,366,173,1510,100,1324,5141
2016-07-01,30,521,335,156,1262,195,1446,5191
2016-07-15,7,513,318,149,1449,286,1741,5649
2016-08-01,20,523,301,154,1360,346,1560,5416
2016-08-15,11,505,357,202,1353,378,1512,6058
2016-09-01,8,491,307,177,1243,222,1189,5635
2016-09-15,29,516,277,152,1172,152,1031,6097
2016-10-01,20,494,345,214,1307,89,685,5889
2016-10-15,34,642,377,221,1402,67,277,6293
2016-11-01,13,584,266,222,1280,6,38,5567
2016-11-15,14,575,248,158,1164,4,9,5670
2016-12-01,10,506,283,152,1077,3,22,5499
2016-12-15,3,482,119,97,1227,6,13,5341
2017-01-01,3,446,182,119,1099,6,1,3943
2017-01-15,0,416,241,169,1097,2,0,3481
2017-02-01,11,352,121,142,978,9,5,3115
2017-02-15,4,355,100,127,822,4,4,2851
2017-03-01,23,455,171,164,956,39,3,3166
2017-03-15,9,475,174,196,1058,65,5,3846
2017-04-01,2,556,184,243,1095,56,35,4349
2017-04-15,1,530,160,221,1165,94,131,4818
2017-05-01,13,582,201,255,1275,98,321,5177
2017-05-15,5,621,304,250,1413,115,598,5530
2017-06-01,10,640,359,240,1350,121,871,5460
2017-06-15,7,795,301,190,1347,160,1348,5495
2017-07-01,6,757,314,199,1305,319,1782,5736
2017-07-15,3,684,365,215,1269,430,1968,6295
2017-08-01,2,590,315,172,1201,455,1729,5643
2017-08-15,13,584,444,236,1315,437,1657,6144
2017-09-01,3,620,392,192,1338,218,1341,6039
2017-09-15,0,617,381,184,1383,156,1137,6139
2017-10-01,4,612,309,176,1432,144,755,5844
2017-10-15,1,681,287,235,1465,118,340,6002
2017-11-01,11,719,252,191,1347,19,24,5430
2017-11-15,12,719,202,141,1309,15,13,5955
2017-12-01,14,619,158,183,1307,20,36,5578
2017-12-15,12,508,142,107,1323,21,14,5330
2018-01-01,14,519,186,121,1154,18,3,3708
2018-01-15,16,561,144,145,1187,19,3,3520
2018-02-01,18,550,114,157,1065,22,1,3319
2018-02-15,16,397,107,97,951,27,4,2787
2018-03-01,33,495,163,119,1097,35,2,3188
2018-03-15,24,631,160,133,1165,54,8,3722
2018-04-01,21,615,218,163,1262,53,30,4162
2018-04-15,24,593,181,152,1467,85,110,4717
2018-05-01,16,671,173,165,1660,91,271,5386
2018-05-15,36,685,222,150,1457,155,695,6018
2018-06-01,43,611,284,184,1497,124,813,5768
2018-06-15,26,646,264,203,1393,154,1087,5792
2018-07-01,15,658,273,199,1439,271,1422,5777
2018-07-15,23,701,294,216,1500,324,1731,6489
2018-08-01,17,587,275,195,1280,411,1587,6270
2018-08-15,19,620,301,232,1530,321,1575,6749
2018-09-01,10,512,325,180,1439,203,1190,6395
2018-09-15,8,549,280,159,1311,151,1058,6893
2018-10-01,15,562,269,176,1242,106,654,6274
2018-10-15,21,588,247,158,1326,77,314,6706
2018-11-01,8,542,229,140,1074,15,55,5790
2018-11-15,16,511,198,126,1281,3,20,6133
2018-12-01,24,496,201,109,1344,0,37,5982
2018-12-15,17,522,129,98,1390,0,13,5349
2019-01-01,3,468,182,85,1120,2,4,4175
2019-01-15,17,518,145,102,1085,0,0,3619
2019-02-01,32,455,116,99,1130,11,1,3298
2019-02-15,10,443,91,95,969,2,1,2840
2019-03-01,31,435,125,94,1159,22,30,3500
2019-03-15,5,562,165,86,1158,31,31,4028
2019-04-01,3,584,209,131,1292,39,43,4647
2019-04-15,7,555,191,148,1477,75,67,5241
2019-05-01,13,597,247,185,1382,74,295,5816
2019-05-15,20,740,326,158,1536,123,550,6365
2019-06-01,15,665,355,179,1492,141,766,5794
2019-06-15,17,622,336,160,1326,171,1143,5893
2019-07-01,9,628,320,162,1343,284,1417,5941
2019-07-15,40,721,258,169,1431,349,1723,6466
2019-08-01,12,700,337,154,1385,396,1688,6052
2019-08-15,10,681,348,215,1483,511,1718,6665
2019-09-01,13,670,369,141,1311,268,1353,6565
2019-09-15,8,672,240,155,1447,136,1062,6530
2019-10-01,19,591,287,154,1464,117,768,6274
2019-10-15,27,638,292,151,1559,92,298,6191
2019-11-01,26,591,281,122,1389,53,49,5082
2019-11-15,16,502,284,100,1331,49,17,5541
2019-12-01,31,510,223,93,1411,32,38,5173
2019-12-15,6,508,150,82,1342,32,10,4880
2020-01-01,15,458,226,67,1056,30,10,3702
2020-01-15,16,547,147,86,1169,36,1,3502
2020-02-01,15,466,139,100,980,34,3,3171
2020-02-15,27,461,140,99,1013,57,0,2818
2020-03-01,10,404,98,83,1054,71,21,2930
2020-03-15,17,482,120,110,1046,46,11,3480
2020-04-01,6,610,157,124,1082,35,1,4170
2020-04-15,21,472,141,113,1214,45,0,4555
2020-05-01,2,499,238,142,1269,32,1,4798
2020-05-15,21,501,303,136,1310,32,7,5093
2020-06-01,4,474,298,143,1136,40,7,4577
2020-06-15,16,571,260,128,1211,62,25,4662
2020-07-01,2,521,256,123,1182,86,273,4784
2020-07-15,29,651,256,132,1302,147,381,5377
2020-08-01,1,553,257,122,1114,105,400,5119
2020-08-15,37,560,296,180,1208,121,428,5538
2020-09-01,2,507,283,125,1292,90,323,5104
2020-09-15,3,462,277,171,1201,81,240,5450
2020-10-01,5,443,295,151,1109,44,79,5328
2020-10-15,4,557,304,148,1153,25,53,6119
2020-11-01,20,475,270,176,1040,22,7,5504
2020-11-15,19,436,257,181,1096,23,1,5844
2020-12-01,4,373,180,150,1074,15,0,5683
2020-12-15,13,349,102,79,1156,16,1,5314
2021-01-01,2,360,121,100,927,15,0,4145
2021-01-15,16,356,152,121,870,36,0,3538
2021-02-01,9,351,99,122,809,17,0,2997
2021-02-15,15,281,87,116,778,18,2,2577
2021-03-01,14,361,113,125,982,17,2,3144
2021-03-15,14,404,124,142,1014,17,6,3734
2021-04-01,18,451,191,120,1101,19,10,4116
2021-04-15,21,372,178,128,1175,22,25,4626
2021-05-01,5,384,180,134,1112,58,78,4944
2021-05-15,29,379,244,129,1195,115,129,5177
2021-06-01,13,426,254,156,1193,59,195,4824
2021-06-15,28,440,195,142,1285,85,390,4813
2021-07-01,5,566,219,185,1199,114,544,5041
2021-07-15,11,584,295,169,1323,154,756,5712
2021-08-01,1,492,325,179,1155,179,686,5254
2021-08-15,20,485,358,171,1340,170,698,5445
2021-09-01,40,502,304,177,1182,124,619,5375
2021-09-15,2,528,305,114,1093,156,491,5188
2021-10-01,3,478,284,112,1268,82,352,5206
2021-10-15,8,557,352,148,1166,33,176,5811
2021-11-01,19,465,234,108,1135,12,18,4952
2021-11-15,16,458,226,113,1214,8,8,5112
2021-12-01,12,373,180,154,1204,3,20,5165
2021-12-15,0,356,166,91,1264,1,9,5143
2022-01-01,0,9,2,0,204,0,0,918
2022-01-15,0,0,0,0,0,0,0,92
2022-02-01,0,0,0,0,0,0,0,15
2022-02-15,0,0,0,0,0,0,0,1
