Region,RN,Latitude,Longitude
St. Lawrence Seaway Region,12,45.4681808333333,-73.5041436111111
St. Lawrence Seaway Region,13,45.4648013888889,-73.5029497222222
St. Lawrence Seaway Region,14,45.4357897222222,-73.5013086111111
St. Lawrence Seaway Region,15,45.4344630555555,-73.5007105555556
St. Lawrence Seaway Region,16,45.4267091666667,-73.5024277777778
St. Lawrence Seaway Region,17,45.4231388888889,-73.5046225
St. Lawrence Seaway Region,18,45.4196558333333,-73.5074294444444
St. Lawrence Seaway Region,19,45.4169602777778,-73.5106102777778
St. Lawrence Seaway Region,20,45.4136444444444,-73.5154291666667
St. Lawrence Seaway Region,21,45.4117358333333,-73.5192141666667
St. Lawrence Seaway Region,22,45.4104636111111,-73.5233013888889
St. Lawrence Seaway Region,23,45.4083244444445,-73.5322633333333
St. Lawrence Seaway Region,24,45.4079905555556,-73.5349669444444
St. Lawrence Seaway Region,25,45.4076033333333,-73.5554444444444
St. Lawrence Seaway Region,26,45.4072208333333,-73.5550130555555
St. Lawrence Seaway Region,27,45.4077519444444,-73.5349588888889
St. Lawrence Seaway Region,28,45.4078313888889,-73.5322711111111
St. Lawrence Seaway Region,29,45.409915,-73.5234286111111
St. Lawrence Seaway Region,30,45.4111872222222,-73.5192538888889
St. Lawrence Seaway Region,31,45.4130002777778,-73.5156038888889
St. Lawrence Seaway Region,32,45.4166263888889,-73.5102602777778
St. Lawrence Seaway Region,33,45.4195844444445,-73.5066819444444
St. Lawrence Seaway Region,34,45.4226380555556,-73.5045508333333
St. Lawrence Seaway Region,35,45.4265344444444,-73.5019505555556
St. Lawrence Seaway Region,36,45.4333886111111,-73.4999816666667
St. Lawrence Seaway Region,37,45.4640488888889,-73.5017122222222
St. Lawrence Seaway Region,38,45.4687452777778,-73.5036152777778
St. Lawrence Seaway Region,39,45.4865769444444,-73.5147986111111
St. Lawrence Seaway Region,40,45.4922983333333,-73.51616
St. Lawrence Seaway Region,41,45.4972158333333,-73.5167555555555
St. Lawrence Seaway Region,42,45.4972219444444,-73.5116666666667
St. Lawrence Seaway Region,43,45.4112877777778,-73.225005
St. Lawrence Seaway Region,44,43.233025,-75.6441327777778
St. Lawrence Seaway Region,45,42,-79.7
St. Lawrence Seaway Region,46,42.55,-80.05
St. Lawrence Seaway Region,47,42.5964719444445,-80.50072
St. Lawrence Seaway Region,48,42.9350255555555,-81.2516194444444
St. Lawrence Seaway Region,49,45,-79.5
