date,Merchant,Barges,Other,Tugs,Tanker,Fishing,PleasureCrafts,Excursion
2017-07-01,5736,199,6,757,1305,314,319,1782
2017-07-15,6295,215,3,684,1269,365,430,1968
2017-08-01,5643,172,2,590,1201,315,455,1729
2017-08-15,6144,236,13,584,1315,444,437,1657
2017-09-01,6039,192,3,620,1338,392,218,1341
2017-09-15,6139,184,0,617,1383,381,156,1137
2017-10-01,5844,176,4,612,1432,309,144,755
2017-10-15,6002,235,1,681,1465,287,118,340
2017-11-01,5430,191,11,719,1347,252,19,24
2017-11-15,5955,141,12,719,1309,202,15,13
2017-12-01,5578,183,14,619,1307,158,20,36
2017-12-15,5330,107,12,508,1323,142,21,14
2018-01-01,3708,121,14,519,1154,186,18,3
2018-01-15,3520,145,16,561,1187,144,19,3
2018-02-01,3319,157,18,550,1065,114,22,1
2018-02-15,2787,97,16,397,951,107,27,4
2018-03-01,3188,119,33,495,1097,163,35,2
2018-03-15,3722,133,24,631,1165,160,54,8
2018-04-01,4162,163,21,615,1262,218,53,30
2018-04-15,4717,152,24,593,1467,181,85,110
2018-05-01,5386,165,16,671,1660,173,91,271
2018-05-15,6018,150,36,685,1457,222,155,695
2018-06-01,5768,184,43,611,1497,284,124,813
2018-06-15,5792,203,26,646,1393,264,154,1087
2018-07-01,5777,199,15,658,1439,273,271,1422
2018-07-15,6489,216,23,701,1500,294,324,1731
2018-08-01,6270,195,17,587,1280,275,411,1587
2018-08-15,6749,232,19,620,1530,301,321,1575
2018-09-01,6395,180,10,512,1439,325,203,1190
2018-09-15,6893,159,8,549,1311,280,151,1058
2018-10-01,6274,176,15,562,1242,269,106,654
2018-10-15,6706,158,21,588,1326,247,77,314
2018-11-01,5790,140,8,542,1074,229,15,55
2018-11-15,6133,126,16,511,1281,198,3,20
2018-12-01,5982,109,24,496,1344,201,0,37
2018-12-15,5349,98,17,522,1390,129,0,13
2019-01-01,4175,85,3,468,1120,182,2,4
2019-01-15,3619,102,17,518,1085,145,0,0
2019-02-01,3298,99,32,455,1130,116,11,1
2019-02-15,2840,95,10,443,969,91,2,1
2019-03-01,3500,94,31,435,1159,125,22,30
2019-03-15,4028,86,5,562,1158,165,31,31
2019-04-01,4647,131,3,584,1292,209,39,43
2019-04-15,5241,148,7,555,1477,191,75,67
2019-05-01,5816,185,13,597,1382,247,74,295
2019-05-15,6365,158,20,740,1536,326,123,550
2019-06-01,5794,179,15,665,1492,355,141,766
2019-06-15,5893,160,17,622,1326,336,171,1143
2019-07-01,5941,162,9,628,1343,320,284,1417
2019-07-15,6466,169,40,721,1431,258,349,1723
2019-08-01,6052,154,12,700,1385,337,396,1688
2019-08-15,6665,215,10,681,1483,348,511,1718
2019-09-01,6565,141,13,670,1311,369,268,1353
2019-09-15,6530,155,8,672,1447,240,136,1062
2019-10-01,6274,154,19,591,1464,287,117,768
2019-10-15,6191,151,27,638,1559,292,92,298
2019-11-01,5082,122,26,591,1389,281,53,49
2019-11-15,5541,100,16,502,1331,284,49,17
2019-12-01,5173,93,31,510,1411,223,32,38
2019-12-15,4880,82,6,508,1342,150,32,10
2020-01-01,3702,67,15,458,1056,226,30,10
2020-01-15,3502,86,16,547,1169,147,36,1
2020-02-01,3171,100,15,466,980,139,34,3
2020-02-15,2818,99,27,461,1013,140,57,0
2020-03-01,2930,83,10,404,1054,98,71,21
2020-03-15,3480,110,17,482,1046,120,46,11
2020-04-01,4170,124,6,610,1082,157,35,1
2020-04-15,4555,113,21,472,1214,141,45,0
2020-05-01,4798,142,2,499,1269,238,32,1
2020-05-15,5093,136,21,501,1310,303,32,7
2020-06-01,4577,143,4,474,1136,298,40,7
2020-06-15,4662,128,16,571,1211,260,62,25
2020-07-01,4784,123,2,521,1182,256,86,273
2020-07-15,5377,132,29,651,1302,256,147,381
2020-08-01,5119,122,1,553,1114,257,105,400
2020-08-15,5538,180,37,560,1208,296,121,428
2020-09-01,5104,125,2,507,1292,283,90,323
2020-09-15,5450,171,3,462,1201,277,81,240
2020-10-01,5328,151,5,443,1109,295,44,79
2020-10-15,6119,148,4,557,1153,304,25,53
2020-11-01,5504,176,20,475,1040,270,22,7
2020-11-15,5844,181,19,436,1096,257,23,1
2020-12-01,5683,150,4,373,1074,180,15,0
2020-12-15,5314,79,13,349,1156,102,16,1
2021-01-01,4145,100,2,360,927,121,15,0
2021-01-15,3538,121,16,356,870,152,36,0
2021-02-01,2997,122,9,351,809,99,17,0
2021-02-15,2577,116,15,281,778,87,18,2
2021-03-01,3144,125,14,361,982,113,17,2
2021-03-15,3734,142,14,404,1014,124,17,6
2021-04-01,4116,120,18,451,1101,191,19,10
2021-04-15,4626,128,21,372,1175,178,22,25
2021-05-01,4944,134,5,384,1112,180,58,78
2021-05-15,5177,129,29,379,1195,244,115,129
2021-06-01,4824,156,13,426,1193,254,59,195
2021-06-15,4813,142,28,440,1285,195,85,390
2021-07-01,5041,185,5,566,1199,219,114,544
2021-07-15,5712,169,11,584,1323,295,154,756
2021-08-01,5254,179,1,492,1155,325,179,686
2021-08-15,5445,171,20,485,1340,358,170,698
2021-09-01,5375,177,40,502,1182,304,124,619
2021-09-15,5188,114,2,528,1093,305,156,491
2021-10-01,5206,112,3,478,1268,284,82,352
2021-10-15,5811,148,8,557,1166,352,33,176
2021-11-01,4952,108,19,465,1135,234,12,18
2021-11-15,5112,113,16,458,1214,226,8,8
2021-12-01,5165,154,12,373,1204,180,3,20
2021-12-15,5143,91,0,356,1264,166,1,9
2022-01-01,918,0,0,9,204,2,0,0
2022-01-15,92,0,0,0,0,0,0,0
2022-02-01,15,0,0,0,0,0,0,0
2022-02-15,1,0,0,0,0,0,0,0
